Accession,Organism_Name,Species,Family,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
MG850070,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_237280,7858,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850069,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_237273,7858,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847972,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2372,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850068,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_237154,7903,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847971,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2371,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850067,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_237084,7074,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850066,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_237033,7891,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850065,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236902,7833,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850064,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236878,7618,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850063,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236754,7898,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850062,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236743,7833,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850061,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236716,7644,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847970,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2367,7771,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850060,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236686,7904,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850059,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236682,7904,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850058,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236615,7904,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850057,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236481,7678,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850056,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236381,7677,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850055,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236377,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850054,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236319,7822,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847969,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2363,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850053,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236239,7857,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847968,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2362,7901,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850052,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236180,7904,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850051,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236132,7751,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850050,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_236114,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850049,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235993,7888,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847967,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2359,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850048,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235785,7890,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850047,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235744,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850046,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235706,7859,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850045,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235631,7903,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850044,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235497,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850043,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235374,7757,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847966,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2353,7844,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850042,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235228,7857,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850041,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235205,7893,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850040,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235169,7858,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850039,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_235158,7902,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847965,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2351,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG847964,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_2350,7900,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850038,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_234883,7830,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850037,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_234771,7760,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
MG850036,Human papillomavirus type 16,Alphapapillomavirus 9,Papillomaviridae,,NCI_234625,7464,partial,USA,USA,Homo sapiens,,"Mirabello,L., Yeager,M., Yu,K., Clifford,G., Xiao,Y., Zhu,B., Cullen,M., Boland,J., Wentzensen,N., Nelson,C., Raine-Bennett,T., Zigui,C., Bass,S., Song,L., Yang,Q., Steinberg,M., Burdett,L., Dean,M., Roberson,D., Mitchell,J., Lorey,T., Franceschi,S., Castle,P., Walker,J., Zuna,R., Kreimer,A., Beachler,D., Hildesheim,A., Gonzalez,P., Porras,C., Burk,R., Schiffman,M.",,2018-03-20,dsDNA
